CountryName,CountryCode,Region,RegionCode,Year2015,literacy,GNI,breastfeeding,water,sanitation,birth
Australia,AUS,East Asia & Pacific,EAS,3.8,_,65520,_,100,100,_
Brunei Darussalam,BRN,East Asia & Pacific,EAS,10.2,95,d,_,_,_,100
Cambodia,KHM,East Asia & Pacific,EAS,28.7,74,950,43,71,37,72
China,CHN,East Asia & Pacific,EAS,10.7,95,6560,9,92,65,100
Fiji,FJI,East Asia & Pacific,EAS,22.4,_,4430,_,96,87,100
Indonesia,IDN,East Asia & Pacific,EAS,27.2,93,3580,55,85,59,83
Japan,JPN,East Asia & Pacific,EAS,2.7,_,46140,_,100,100,_
Kiribati,KIR,East Asia & Pacific,EAS,55.9,_,2620,82,67,40,80
Lao PDR,LAO,East Asia & Pacific,EAS,66.7,73,1460,40,72,65,42
Malaysia,MYS,East Asia & Pacific,EAS,7,93,10400,_,100,96,99
Marshall Islands,MHL,East Asia & Pacific,EAS,36,_,4200,53,95,76,99
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,EAS,34.7,_,3430,_,89,57,100
Mongolia,MNG,East Asia & Pacific,EAS,22.4,98,3770,65,85,56,99
Myanmar,MMR,East Asia & Pacific,EAS,50,93,a,65,86,77,71
New Zealand,NZL,East Asia & Pacific,EAS,5.7,_,35520,_,100,_,_
Palau,PLW,East Asia & Pacific,EAS,16.4,100,10970,_,_,100,100
Papua New Guinea,PNG,East Asia & Pacific,EAS,57.3,63,2010,72,40,19,53
Philippines,PHL,East Asia & Pacific,EAS,28,95,3270,34,92,74,72
Samoa,WSM,East Asia & Pacific,EAS,17.5,99,3430,74,99,92,81
Singapore,SGP,East Asia & Pacific,EAS,2.7,96,54040,_,100,100,_
Solomon Islands,SLB,East Asia & Pacific,EAS,28.1,_,1610,67,81,29,86
Thailand,THA,East Asia & Pacific,EAS,12.3,96,5370,18,96,93,100
Timor-Leste,TLS,East Asia & Pacific,EAS,52.6,58,3580,33,70,39,29
Tonga,TON,East Asia & Pacific,EAS,16.7,99,4490,30,99,91,98
Tuvalu,TUV,East Asia & Pacific,EAS,27.1,_,6630,51,98,83,98
Vanuatu,VUT,East Asia & Pacific,EAS,27.5,83,3130,32,91,58,89
Vietnam,VNM,East Asia & Pacific,EAS,21.7,94,1730,19,95,75,93
Albania,ALB,Europe & Central Asia,ECS,14,97,4700,31,96,91,99
Andorra,AND,Europe & Central Asia,ECS,2.8,_,d,_,100,100,_
Armenia,ARM,Europe & Central Asia,ECS,14.1,100,3790,23,100,91,100
Austria,AUT,Europe & Central Asia,ECS,3.5,_,48590,_,100,100,_
Azerbaijan,AZE,Europe & Central Asia,ECS,31.7,100,7350,16,80,82,99
