CountryName,ISO,Region,Year2015,Region2015
Australia,AUS,East Asia & Pacific,3.8,17.10728532
Brunei Darussalam,BRN,East Asia & Pacific,10.2,17.10728532
Cambodia,KHM,East Asia & Pacific,28.7,17.10728532
China,CHN,East Asia & Pacific,10.7,17.10728532
Fiji,FJI,East Asia & Pacific,22.4,17.10728532
Indonesia,IDN,East Asia & Pacific,27.2,17.10728532
Japan,JPN,East Asia & Pacific,2.7,17.10728532
Kiribati,KIR,East Asia & Pacific,55.9,17.10728532
"Korea, Dem. Rep.",PRK,East Asia & Pacific,24.9,17.10728532
"Korea, Rep.",KOR,East Asia & Pacific,3.4,17.10728532
Lao PDR,LAO,East Asia & Pacific,66.7,17.10728532
Malaysia,MYS,East Asia & Pacific,7,17.10728532
Marshall Islands,MHL,East Asia & Pacific,36,17.10728532
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,34.7,17.10728532
Mongolia,MNG,East Asia & Pacific,22.4,17.10728532
Myanmar,MMR,East Asia & Pacific,50,17.10728532
New Zealand,NZL,East Asia & Pacific,5.7,17.10728532
Palau,PLW,East Asia & Pacific,16.4,17.10728532
Papua New Guinea,PNG,East Asia & Pacific,57.3,17.10728532
Philippines,PHL,East Asia & Pacific,28,17.10728532
Samoa,WSM,East Asia & Pacific,17.5,17.10728532
Singapore,SGP,East Asia & Pacific,2.7,17.10728532
Solomon Islands,SLB,East Asia & Pacific,28.1,17.10728532
Thailand,THA,East Asia & Pacific,12.3,17.10728532
Timor-Leste,TLS,East Asia & Pacific,52.6,17.10728532
Tonga,TON,East Asia & Pacific,16.7,17.10728532
Tuvalu,TUV,East Asia & Pacific,27.1,17.10728532
Vanuatu,VUT,East Asia & Pacific,27.5,17.10728532
Vietnam,VNM,East Asia & Pacific,21.7,17.10728532
Albania,ALB,Europe & Central Asia,14,11.24989126
Andorra,AND,Europe & Central Asia,2.8,11.24989126
Armenia,ARM,Europe & Central Asia,14.1,11.24989126
Austria,AUT,Europe & Central Asia,3.5,11.24989126
Azerbaijan,AZE,Europe & Central Asia,31.7,11.24989126
Belarus,BLR,Europe & Central Asia,4.6,11.24989126
Belgium,BEL,Europe & Central Asia,4.1,11.24989126
Bosnia and Herzegovina,BIH,Europe & Central Asia,5.4,11.24989126
Bulgaria,BGR,Europe & Central Asia,10.4,11.24989126
Croatia,HRV,Europe & Central Asia,4.3,11.24989126
Cyprus,CYP,Europe & Central Asia,2.7,11.24989126
Czech Republic,CZE,Europe & Central Asia,3.4,11.24989126
Denmark,DNK,Europe & Central Asia,3.5,11.24989126
Estonia,EST,Europe & Central Asia,2.9,11.24989126
Finland,FIN,Europe & Central Asia,2.3,11.24989126
France,FRA,Europe & Central Asia,4.3,11.24989126
Georgia,GEO,Europe & Central Asia,11.9,11.24989126
Germany,DEU,Europe & Central Asia,3.7,11.24989126
Greece,GRC,Europe & Central Asia,4.6,11.24989126
Hungary,HUN,Europe & Central Asia,5.9,11.24989126
Iceland,ISL,Europe & Central Asia,2,11.24989126
Ireland,IRL,Europe & Central Asia,3.6,11.24989126
Italy,ITA,Europe & Central Asia,3.5,11.24989126
Kazakhstan,KAZ,Europe & Central Asia,14.1,11.24989126
Kyrgyz Republic,KGZ,Europe & Central Asia,21.3,11.24989126
Latvia,LVA,Europe & Central Asia,7.9,11.24989126
Lithuania,LTU,Europe & Central Asia,5.2,11.24989126
Luxembourg,LUX,Europe & Central Asia,1.9,11.24989126
"Macedonia, FYR",MKD,Europe & Central Asia,5.5,11.24989126
Moldova,MDA,Europe & Central Asia,15.8,11.24989126
Monaco,MCO,Europe & Central Asia,3.5,11.24989126
Montenegro,MNE,Europe & Central Asia,4.7,11.24989126
Netherlands,NLD,Europe & Central Asia,3.8,11.24989126
Norway,NOR,Europe & Central Asia,2.6,11.24989126
Poland,POL,Europe & Central Asia,5.2,11.24989126
Portugal,PRT,Europe & Central Asia,3.6,11.24989126
Romania,ROU,Europe & Central Asia,11.1,11.24989126
Russian Federation,RUS,Europe & Central Asia,9.6,11.24989126
San Marino,SMR,Europe & Central Asia,2.9,11.24989126
Serbia,SRB,Europe & Central Asia,6.7,11.24989126
Slovak Republic,SVK,Europe & Central Asia,7.3,11.24989126
Slovenia,SVN,Europe & Central Asia,2.6,11.24989126
Spain,ESP,Europe & Central Asia,4.1,11.24989126
Sweden,SWE,Europe & Central Asia,3,11.24989126
Switzerland,CHE,Europe & Central Asia,3.9,11.24989126
Tajikistan,TJK,Europe & Central Asia,44.8,11.24989126
Turkey,TUR,Europe & Central Asia,13.5,11.24989126
Turkmenistan,TKM,Europe & Central Asia,51.4,11.24989126
Ukraine,UKR,Europe & Central Asia,9,11.24989126
United Kingdom,GBR,Europe & Central Asia,4.2,11.24989126
Uzbekistan,UZB,Europe & Central Asia,39.1,11.24989126
Antigua and Barbuda,ATG,Latin America & Caribbean,8.1,17.96414403
Argentina,ARG,Latin America & Caribbean,12.5,17.96414403
"Bahamas, The",BHS,Latin America & Caribbean,12.1,17.96414403
Barbados,BRB,Latin America & Caribbean,13,17.96414403
Belize,BLZ,Latin America & Caribbean,16.5,17.96414403
Bolivia,BOL,Latin America & Caribbean,38.4,17.96414403
Brazil,BRA,Latin America & Caribbean,16.4,17.96414403
Chile,CHL,Latin America & Caribbean,8.1,17.96414403
Colombia,COL,Latin America & Caribbean,15.9,17.96414403
Costa Rica,CRI,Latin America & Caribbean,9.7,17.96414403
Cuba,CUB,Latin America & Caribbean,5.5,17.96414403
Dominica,DMA,Latin America & Caribbean,21.2,17.96414403
Dominican Republic,DOM,Latin America & Caribbean,30.9,17.96414403
Ecuador,ECU,Latin America & Caribbean,21.6,17.96414403
El Salvador,SLV,Latin America & Caribbean,16.8,17.96414403
Grenada,GRD,Latin America & Caribbean,11.8,17.96414403
Guatemala,GTM,Latin America & Caribbean,29.1,17.96414403
Guyana,GUY,Latin America & Caribbean,39.4,17.96414403
Haiti,HTI,Latin America & Caribbean,69,17.96414403
Honduras,HND,Latin America & Caribbean,20.4,17.96414403
Jamaica,JAM,Latin America & Caribbean,15.7,17.96414403
Mexico,MEX,Latin America & Caribbean,13.2,17.96414403
Nicaragua,NIC,Latin America & Caribbean,22.1,17.96414403
Panama,PAN,Latin America & Caribbean,17,17.96414403
Paraguay,PRY,Latin America & Caribbean,20.5,17.96414403
Peru,PER,Latin America & Caribbean,16.9,17.96414403
St. Kitts and Nevis,KNA,Latin America & Caribbean,10.5,17.96414403
St. Lucia,LCA,Latin America & Caribbean,14.3,17.96414403
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,18.3,17.96414403
Suriname,SUR,Latin America & Caribbean,21.3,17.96414403
Trinidad and Tobago,TTO,Latin America & Caribbean,20.4,17.96414403
Uruguay,URY,Latin America & Caribbean,10.1,17.96414403
"Venezuela, RB",VEN,Latin America & Caribbean,14.9,17.96414403
Algeria,DZA,Middle East & North Africa,25.5,23.34026831
