CountryCode,RetionCode,RegionName
AUS,EAS,East Asia & Pacific
BRN,EAS,East Asia & Pacific
KHM,EAS,East Asia & Pacific
CHN,EAS,East Asia & Pacific
FJI,EAS,East Asia & Pacific
IDN,EAS,East Asia & Pacific
JPN,EAS,East Asia & Pacific
KIR,EAS,East Asia & Pacific
PRK,EAS,East Asia & Pacific
KOR,EAS,East Asia & Pacific
LAO,EAS,East Asia & Pacific
MYS,EAS,East Asia & Pacific
MHL,EAS,East Asia & Pacific
FSM,EAS,East Asia & Pacific
MNG,EAS,East Asia & Pacific
MMR,EAS,East Asia & Pacific
NZL,EAS,East Asia & Pacific
PLW,EAS,East Asia & Pacific
PNG,EAS,East Asia & Pacific
PHL,EAS,East Asia & Pacific
WSM,EAS,East Asia & Pacific
SGP,EAS,East Asia & Pacific
SLB,EAS,East Asia & Pacific
THA,EAS,East Asia & Pacific
TLS,EAS,East Asia & Pacific
TON,EAS,East Asia & Pacific
TUV,EAS,East Asia & Pacific
VUT,EAS,East Asia & Pacific
VNM,EAS,East Asia & Pacific
ALB,ECS,Europe & Central Asia
AND,ECS,Europe & Central Asia
ARM,ECS,Europe & Central Asia
AUT,ECS,Europe & Central Asia
AZE,ECS,Europe & Central Asia
BLR,ECS,Europe & Central Asia
BEL,ECS,Europe & Central Asia
BIH,ECS,Europe & Central Asia
BGR,ECS,Europe & Central Asia
HRV,ECS,Europe & Central Asia
CYP,ECS,Europe & Central Asia
CZE,ECS,Europe & Central Asia
DNK,ECS,Europe & Central Asia
EST,ECS,Europe & Central Asia
FIN,ECS,Europe & Central Asia
FRA,ECS,Europe & Central Asia
GEO,ECS,Europe & Central Asia
DEU,ECS,Europe & Central Asia
GRC,ECS,Europe & Central Asia
HUN,ECS,Europe & Central Asia
ISL,ECS,Europe & Central Asia
IRL,ECS,Europe & Central Asia
ITA,ECS,Europe & Central Asia
KAZ,ECS,Europe & Central Asia
KGZ,ECS,Europe & Central Asia
LVA,ECS,Europe & Central Asia
LTU,ECS,Europe & Central Asia
LUX,ECS,Europe & Central Asia
MKD,ECS,Europe & Central Asia
MDA,ECS,Europe & Central Asia
MCO,ECS,Europe & Central Asia
MNE,ECS,Europe & Central Asia
NLD,ECS,Europe & Central Asia
NOR,ECS,Europe & Central Asia
POL,ECS,Europe & Central Asia
PRT,ECS,Europe & Central Asia
ROU,ECS,Europe & Central Asia
RUS,ECS,Europe & Central Asia
SMR,ECS,Europe & Central Asia
SRB,ECS,Europe & Central Asia
SVK,ECS,Europe & Central Asia
SVN,ECS,Europe & Central Asia
ESP,ECS,Europe & Central Asia
SWE,ECS,Europe & Central Asia
CHE,ECS,Europe & Central Asia
TJK,ECS,Europe & Central Asia
TUR,ECS,Europe & Central Asia
TKM,ECS,Europe & Central Asia
UKR,ECS,Europe & Central Asia
GBR,ECS,Europe & Central Asia
UZB,ECS,Europe & Central Asia
ATG,LCN,Latin America & Caribbean
ARG,LCN,Latin America & Caribbean
BHS,LCN,Latin America & Caribbean
BRB,LCN,Latin America & Caribbean
BLZ,LCN,Latin America & Caribbean
BOL,LCN,Latin America & Caribbean
BRA,LCN,Latin America & Caribbean
CHL,LCN,Latin America & Caribbean
COL,LCN,Latin America & Caribbean
CRI,LCN,Latin America & Caribbean
CUB,LCN,Latin America & Caribbean
DMA,LCN,Latin America & Caribbean
DOM,LCN,Latin America & Caribbean
ECU,LCN,Latin America & Caribbean
SLV,LCN,Latin America & Caribbean
GRD,LCN,Latin America & Caribbean
GTM,LCN,Latin America & Caribbean
GUY,LCN,Latin America & Caribbean
HTI,LCN,Latin America & Caribbean
HND,LCN,Latin America & Caribbean
JAM,LCN,Latin America & Caribbean
MEX,LCN,Latin America & Caribbean
NIC,LCN,Latin America & Caribbean
PAN,LCN,Latin America & Caribbean
PRY,LCN,Latin America & Caribbean
PER,LCN,Latin America & Caribbean
KNA,LCN,Latin America & Caribbean
LCA,LCN,Latin America & Caribbean
VCT,LCN,Latin America & Caribbean
SUR,LCN,Latin America & Caribbean
TTO,LCN,Latin America & Caribbean
URY,LCN,Latin America & Caribbean
VEN,LCN,Latin America & Caribbean
DZA,MEA,Middle East & North Africa
BHR,MEA,Middle East & North Africa
DJI,MEA,Middle East & North Africa
EGY,MEA,Middle East & North Africa
IRN,MEA,Middle East & North Africa
IRQ,MEA,Middle East & North Africa
ISR,MEA,Middle East & North Africa
JOR,MEA,Middle East & North Africa
KWT,MEA,Middle East & North Africa
LBN,MEA,Middle East & North Africa
LBY,MEA,Middle East & North Africa
MLT,MEA,Middle East & North Africa
MAR,MEA,Middle East & North Africa
OMN,MEA,Middle East & North Africa
QAT,MEA,Middle East & North Africa
SAU,MEA,Middle East & North Africa
SYR,MEA,Middle East & North Africa
TUN,MEA,Middle East & North Africa
ARE,MEA,Middle East & North Africa
PSE,MEA,Middle East & North Africa
YEM,MEA,Middle East & North Africa
CAN,NAC,North America
USA,NAC,North America
AFG,SAS,South Asia
BGD,SAS,South Asia
BTN,SAS,South Asia
IND,SAS,South Asia
MDV,SAS,South Asia
NPL,SAS,South Asia
PAK,SAS,South Asia
LKA,SAS,South Asia
AGO,SSF,Sub-Saharan Africa
BEN,SSF,Sub-Saharan Africa
BWA,SSF,Sub-Saharan Africa
BFA,SSF,Sub-Saharan Africa
BDI,SSF,Sub-Saharan Africa
CPV,SSF,Sub-Saharan Africa
CMR,SSF,Sub-Saharan Africa
CAF,SSF,Sub-Saharan Africa
TCD,SSF,Sub-Saharan Africa
COM,SSF,Sub-Saharan Africa
COD,SSF,Sub-Saharan Africa
COG,SSF,Sub-Saharan Africa
CIV,SSF,Sub-Saharan Africa
GNQ,SSF,Sub-Saharan Africa
ERI,SSF,Sub-Saharan Africa
ETH,SSF,Sub-Saharan Africa
GAB,SSF,Sub-Saharan Africa
GMB,SSF,Sub-Saharan Africa
GHA,SSF,Sub-Saharan Africa
GIN,SSF,Sub-Saharan Africa
GNB,SSF,Sub-Saharan Africa
KEN,SSF,Sub-Saharan Africa
LSO,SSF,Sub-Saharan Africa
LBR,SSF,Sub-Saharan Africa
MDG,SSF,Sub-Saharan Africa
MWI,SSF,Sub-Saharan Africa
MLI,SSF,Sub-Saharan Africa
