CountryName,Total adult literacy rate,GNI per capita (US$) ,Breastfeeding at age 2 (%),Use of improved drinking water sources (%),Use of improved sanitation facilities (%),Skilled attendant at birth
Afghanistan,32,700,54,64,29,39
Albania,97,4700,31,96,91,99
Algeria,73,5290,22,84,95,97
Andorra,_,d,_,100,100,_
Angola,71,5010,_,54,60,47
Antigua and Barbuda,99,12910,_,98,_,100
Argentina,98,c,29,99,97,98
Armenia,100,3790,23,100,91,100
Australia,_,65520,_,100,100,_
Austria,_,48590,_,100,100,_
Azerbaijan,100,7350,16,80,82,99
Bahamas,_,20600,_,98,92,99
Bahrain,95,19560,_,100,99,100
Bangladesh,59,900,90,85,57,34
Barbados,_,15080,_,100,_,100
Belarus,100,6720,12,100,94,100
Belgium,_,45210,_,100,100,_
Belize,_,4660,35,99,91,96
Benin,29,790,68,76,14,81
Bhutan,53,2460,66,98,47,65
Bolivia (Plurinational State of),94,2550,40,88,46,84
Bosnia and Herzegovina,98,4740,12,100,95,100
Botswana,87,7730,6,97,64,95
Brazil,91,11690,26,98,81,98
Brunei Darussalam,95,d,_,_,_,100
Bulgaria,98,7030,_,99,100,100
Burkina Faso,29,670,80,82,19,66
Burundi,87,280,79,75,47,60
Cabo Verde,85,3630,13,89,65,78
Cambodia,74,950,43,71,37,72
Cameroon,71,1270,24,74,45,64
Canada,_,52200,_,100,100,100
Central African Republic,37,320,32,68,22,54
Chad,37,1020,59,51,12,23
Chile,99,15230,_,99,99,100
China,95,6560,9,92,65,100
Colombia,94,7560,33,91,80,99
Comoros,76,880,57,_,_,82
Congo,79,2660,17,75,15,93
Cook Islands,_,_,_,100,97,100
Costa Rica,97,9550,28,97,94,98
Cªte d'Ivoire,41,1380,38,80,22,59
Croatia,99,13330,_,99,98,100
Cuba,100,5890,17,94,93,100
Cyprus,99,26390,_,100,100,_
Czech Republic,_,18060,_,100,100,100
Democratic People's Republic of Korea,100,a,22,98,82,100
Democratic Republic of the Congo,61,400,53,46,31,80
Denmark,_,61110,_,100,100,_
Djibouti,_,b,18,92,61,87
Dominica,_,6760,_,_,_,100
Dominican Republic,90,5620,14,81,82,99
Ecuador,93,5510,19,86,83,91
Egypt,74,3160,35,99,96,79
El Salvador,85,3720,54,90,70,100
Equatorial Guinea,95,14320,5,_,_,68
Eritrea,70,490,73,_,_,34
Estonia,100,17370,_,99,95,100
Ethiopia,39,470,82,52,24,10
Fiji,_,4430,_,96,87,100
Finland,_,47110,_,100,100,_
France,_,42250,_,100,100,_
Gabon,82,10650,4,92,41,89
Gambia,52,510,31,90,60,57
Georgia,100,3570,17,99,93,100
Germany,_,46100,_,100,100,_
